Date,NAV (CAD),Market price (CAD)
Sep 22 2023,$103.6262,$103.6100
Sep 21 2023,$103.8885,$103.8800
Sep 20 2023,$105.5176,$105.5100
Sep 19 2023,$106.2887,$106.2800
Sep 18 2023,$106.8825,$106.8900
Sep 15 2023,$107.0384,$107.0600
Sep 14 2023,$108.3176,$108.3300
Sep 13 2023,$107.6868,$107.7200
Sep 12 2023,$107.5967,$107.6000
Sep 11 2023,$108.3445,$108.3500
Sep 08 2023,$108.1450,$108.1900
Sep 07 2023,$108.3297,$108.3500
Sep 06 2023,$108.2839,$108.3200
Sep 05 2023,$109.0566,$109.0300
Sep 01 2023,$109.2182,$109.1500
Aug 31 2023,$108.2616,$108.3100
Aug 30 2023,$108.5769,$108.6200
Aug 29 2023,$108.3181,$108.4500
Aug 28 2023,$107.1515,$107.1600
Aug 25 2023,$106.4515,$106.5300
Aug 24 2023,$105.5724,$105.5800
Aug 23 2023,$106.6482,$106.6500
Aug 22 2023,$105.6942,$105.6800
Aug 21 2023,$105.8972,$106.0100
Aug 18 2023,$105.2104,$105.0700
Aug 17 2023,$105.0787,$105.1200
Aug 16 2023,$105.8463,$105.8700
Aug 15 2023,$106.3711,$106.3800
Aug 14 2023,$107.3338,$107.3000
Aug 11 2023,$106.5934,$106.5900
Aug 10 2023,$106.6727,$106.6200
Aug 09 2023,$106.4360,$106.4500
Aug 08 2023,$107.0843,$107.1400
Aug 04 2023,$106.3625,$106.3500
Aug 03 2023,$106.6387,$106.7700
Aug 02 2023,$106.8573,$106.9000
Aug 01 2023,$107.9120,$107.9100
Jul 31 2023,$107.4076,$107.4100
Jul 28 2023,$107.5996,$107.5800
Jul 27 2023,$106.5619,$106.6100
Jul 26 2023,$107.0264,$107.0200
Jul 25 2023,$106.7620,$106.7400
Jul 24 2023,$106.4242,$106.3800
Jul 21 2023,$106.3420,$106.3700
Jul 20 2023,$105.9795,$106.0000
Jul 19 2023,$106.6394,$106.6800
Jul 18 2023,$106.4303,$106.4500
Jul 17 2023,$105.7982,$105.8000
Jul 14 2023,$105.6946,$105.5700
Jul 13 2023,$104.8756,$104.8700
Jul 12 2023,$104.6149,$104.5300
Jul 11 2023,$104.1919,$104.1900
Jul 10 2023,$103.8658,$103.8000
Jul 07 2023,$103.5926,$103.6200
Jul 06 2023,$104.5185,$104.6100
Jul 05 2023,$104.7157,$104.7700
Jul 04 2023,$104.4916,$104.3600
Jun 30 2023,$104.4779,$104.5000
Jun 29 2023,$103.2625,$103.2500
Jun 28 2023,$103.2878,$103.1800
Jun 27 2023,$102.6693,$102.6700
Jun 26 2023,$101.3349,$101.3400
Jun 23 2023,$102.0378,$102.0200
Jun 22 2023,$102.4972,$102.5600
Jun 21 2023,$102.2500,$102.2100
Jun 20 2023,$103.3093,$103.3300
Jun 19 2023,$103.6470,$103.6000
Jun 16 2023,$103.5730,$103.5900
Jun 15 2023,$104.0864,$104.0100
Jun 14 2023,$103.6746,$103.6900
Jun 13 2023,$103.4200,$103.4300
Jun 12 2023,$103.1553,$103.1400
Jun 09 2023,$102.0713,$102.0300
Jun 08 2023,$101.9467,$101.9400
Jun 07 2023,$101.5064,$101.5000
Jun 06 2023,$102.0728,$102.1100
Jun 05 2023,$102.1553,$102.2300
Jun 02 2023,$102.2089,$102.2000
Jun 01 2023,$100.9330,$100.8800
May 31 2023,$100.8928,$100.9200
May 30 2023,$101.6017,$101.6500
May 29 2023,$101.4881,$101.9800
May 26 2023,$101.6940,$101.7000
